Epoch 0 Episode 5 Left:9 	 Right: 9	 None: 6	
Epoch 0 Episode 10 Left:2 	 Right: 0	 None: 5	
Epoch 0 Episode 15 Left:15 	 Right: 5	 None: 5	
Epoch 0 Episode 20 Left:9 	 Right: 6	 None: 5	
Epoch 0 Episode 25 Left:8 	 Right: 11	 None: 5	
Epoch 0 Episode 30 Left:7 	 Right: 5	 None: 4	
Epoch 0 Episode 35 Left:4 	 Right: 3	 None: 5	
Epoch 0 Episode 40 Left:6 	 Right: 5	 None: 4	
Epoch 0 Episode 45 Left:7 	 Right: 5	 None: 5	
Epoch 0 Episode 50 Left:0 	 Right: 4	 None: 5	
Epoch 0 Episode 55 Left:6 	 Right: 10	 None: 5	
Epoch 0 Episode 60 Left:10 	 Right: 5	 None: 5	
Epoch 0 Episode 65 Left:10 	 Right: 8	 None: 4	
Epoch 0 Episode 70 Left:4 	 Right: 2	 None: 5	
Epoch 0 Episode 75 Left:2 	 Right: 1	 None: 5	
Epoch 0 Episode 80 Left:4 	 Right: 9	 None: 5	
Epoch 0 Episode 85 Left:1 	 Right: 1	 None: 5	
Epoch 0 Episode 90 Left:8 	 Right: 9	 None: 4	
Epoch 0 Episode 95 Left:5 	 Right: 5	 None: 5	
Epoch 0 Episode 100 Left:3 	 Right: 1	 None: 5	
Epoch 0 Episode 105 Left:3 	 Right: 1	 None: 5	
Epoch 0 Episode 110 Left:5 	 Right: 9	 None: 5	
Epoch 0 Episode 115 Left:4 	 Right: 4	 None: 5	
Epoch 0 Episode 120 Left:3 	 Right: 5	 None: 4	
Epoch 0 Episode 125 Left:14 	 Right: 8	 None: 5	
Epoch 0 Episode 130 Left:3 	 Right: 6	 None: 5	
Epoch 0 Episode 135 Left:5 	 Right: 5	 None: 5	
Epoch 0 Episode 140 Left:8 	 Right: 13	 None: 5	
Epoch 0 Episode 145 Left:2 	 Right: 3	 None: 3	
Epoch 0 Episode 150 Left:6 	 Right: 6	 None: 3	
Epoch 0 Episode 155 Left:3 	 Right: 4	 None: 5	
Epoch 0 Episode 160 Left:9 	 Right: 3	 None: 4	
