frame,x_min,y_min,x_max,y_max
"[[[  0  26  31]
  [  0  26  31]
  [  0  27  32]
  ...
  [172 188 195]
  [172 188 195]
  [172 188 195]]

 [[  0  26  31]
  [  0  26  31]
  [  0  27  32]
  ...
  [172 188 195]
  [172 188 195]
  [172 188 195]]

 [[  0  26  31]
  [  0  26  31]
  [  0  27  32]
  ...
  [172 188 195]
  [172 188 195]
  [172 188 195]]

 ...

 [[  1  26  32]
  [  1  26  32]
  [  1  26  32]
  ...
  [ 17  36  40]
  [ 20  39  43]
  [ 25  44  48]]

 [[  2  27  33]
  [  2  27  33]
  [  2  27  33]
  ...
  [ 17  36  40]
  [ 20  39  43]
  [ 25  44  48]]

 [[  7  32  38]
  [  7  32  38]
  [  7  32  38]
  ...
  [ 17  36  40]
  [ 20  39  43]
  [ 25  44  48]]]",,,,
"[[[  0  19  23]
  [  0  19  23]
  [  0  19  23]
  ...
  [170 186 193]
  [171 187 194]
  [172 188 195]]

 [[  1  20  24]
  [  0  19  23]
  [  0  19  23]
  ...
  [175 191 198]
  [173 189 196]
  [172 188 195]]

 [[  1  20  24]
  [  1  20  24]
  [  1  20  24]
  ...
  [176 192 199]
  [174 190 197]
  [173 189 196]]

 ...

 [[  6  21  24]
  [  6  21  24]
  [  6  21  24]
  ...
  [ 20  51  53]
  [ 22  53  55]
  [ 24  55  57]]

 [[  8  23  26]
  [  8  23  26]
  [  8  23  26]
  ...
  [ 19  50  52]
  [ 20  51  53]
  [ 23  54  56]]

 [[  8  23  26]
  [  8  23  26]
  [  8  23  26]
  ...
  [ 18  49  51]
  [ 19  50  52]
  [ 22  53  55]]]",129,43,326,358
"[[[  3  24  28]
  [  3  24  28]
  [  4  25  29]
  ...
  [177 188 196]
  [176 187 195]
  [176 187 195]]

 [[  4  25  29]
  [  4  25  29]
  [  5  26  30]
  ...
  [179 190 198]
  [176 187 195]
  [176 187 195]]

 [[  4  25  29]
  [  4  25  29]
  [  5  26  30]
  ...
  [178 189 197]
  [178 189 197]
  [181 192 200]]

 ...

 [[  0  23  24]
  [  0  27  28]
  [  1  28  29]
  ...
  [ 20  46  44]
  [ 11  37  35]
  [ 28  54  52]]

 [[  0  25  26]
  [  0  26  27]
  [  0  26  27]
  ...
  [ 21  47  45]
  [ 11  37  35]
  [ 16  42  40]]

 [[  0  27  28]
  [  0  26  27]
  [  0  26  27]
  ...
  [ 24  50  48]
  [ 24  50  48]
  [ 16  42  40]]]",133,43,325,360
"[[[  0  25  28]
  [  0  25  28]
  [  1  26  29]
  ...
  [183 189 198]
  [183 189 198]
  [183 189 198]]

 [[  0  26  29]
  [  0  26  29]
  [  1  27  30]
  ...
  [183 189 198]
  [183 189 198]
  [183 189 198]]

 [[  0  26  29]
  [  0  26  29]
  [  1  27  30]
  ...
  [183 189 198]
  [183 189 198]
  [183 189 198]]

 ...

 [[  0  20  26]
  [  0  24  30]
  [  1  26  32]
  ...
  [ 17  46  48]
  [ 20  49  51]
  [ 23  52  54]]

 [[  0  24  30]
  [  0  24  30]
  [  0  24  30]
  ...
  [ 15  44  46]
  [ 19  48  50]
  [ 14  43  45]]

 [[  0  25  31]
  [  0  24  30]
  [  0  24  30]
  ...
  [  8  37  39]
  [ 25  54  56]
  [ 20  49  51]]]",132,42,326,356
"[[[ 17  23  27]
  [ 17  23  27]
  [ 17  25  29]
  ...
  [175 188 196]
  [175 188 196]
  [175 188 196]]

 [[ 18  24  28]
  [ 18  24  28]
  [ 19  27  31]
  ...
  [175 188 196]
  [175 188 196]
  [175 188 196]]

 [[ 18  24  28]
  [ 18  24  28]
  [ 19  27  31]
  ...
  [175 188 196]
  [175 188 196]
  [175 188 196]]

 ...

 [[  8  20  32]
  [  8  20  32]
  [  8  20  32]
  ...
  [ 29  40  48]
  [ 29  37  46]
  [ 28  36  45]]

 [[  8  20  32]
  [  8  20  32]
  [  8  20  32]
  ...
  [ 31  39  48]
  [ 29  37  46]
  [ 29  37  46]]

 [[  8  20  32]
  [  8  20  32]
  [  8  20  32]
  ...
  [ 28  36  45]
  [ 28  36  45]
  [ 31  37  46]]]",131,45,325,358
"[[[ 13  23  27]
  [ 13  23  27]
  [ 13  26  29]
  ...
  [175 188 196]
  [175 188 196]
  [175 188 196]]

 [[ 14  24  28]
  [ 14  24  28]
  [ 15  28  31]
  ...
  [175 188 196]
  [175 188 196]
  [175 188 196]]

 [[ 14  24  28]
  [ 14  24  28]
  [ 15  28  31]
  ...
  [175 188 196]
  [175 188 196]
  [175 188 196]]

 ...

 [[ 11  24  32]
  [ 10  23  31]
  [  9  22  30]
  ...
  [ 21  40  44]
  [ 24  43  47]
  [ 25  44  48]]

 [[ 10  23  31]
  [ 10  23  31]
  [  9  22  30]
  ...
  [ 20  39  43]
  [ 23  42  46]
  [ 25  44  48]]

 [[  9  22  30]
  [  9  22  30]
  [  8  21  29]
  ...
  [ 20  39  43]
  [ 23  42  46]
  [ 25  44  48]]]",131,42,324,359
"[[[  3  16  24]
  [  0  15  22]
  [  3  21  28]
  ...
  [178 184 193]
  [178 184 193]
  [179 185 194]]

 [[  4  17  25]
  [  1  17  24]
  [  4  22  29]
  ...
  [180 186 195]
  [180 186 195]
  [179 185 194]]

 [[  5  18  26]
  [  2  18  25]
  [  3  21  28]
  ...
  [180 186 195]
  [179 185 194]
  [179 185 194]]

 ...

 [[  4  24  31]
  [  4  24  31]
  [  3  23  30]
  ...
  [ 24  39  48]
  [ 26  38  48]
  [ 28  40  50]]

 [[  3  23  30]
  [  3  23  30]
  [  2  22  29]
  ...
  [ 24  36  46]
  [ 25  37  47]
  [ 33  43  53]]

 [[  3  23  30]
  [  3  23  30]
  [  2  22  29]
  ...
  [ 29  42  50]
  [ 36  47  55]
  [ 42  53  61]]]",130,37,324,358
"[[[  7  17  21]
  [  4  17  20]
  [  6  21  24]
  ...
  [175 188 196]
  [175 188 196]
  [175 188 196]]

 [[  8  18  22]
  [  5  18  21]
  [  7  22  25]
  ...
  [175 188 196]
  [174 187 195]
  [176 189 197]]

 [[  9  19  23]
  [  6  19  22]
  [  6  21  24]
  ...
  [171 184 192]
  [173 186 194]
  [177 190 198]]

 ...

 [[  5  25  32]
  [  5  25  32]
  [  5  25  32]
  ...
  [ 18  37  46]
  [ 20  37  46]
  [ 24  41  50]]

 [[  5  25  32]
  [  6  26  33]
  [  5  25  32]
  ...
  [ 12  29  38]
  [ 16  33  42]
  [ 24  39  48]]

 [[  6  26  33]
  [  6  26  33]
  [  5  25  32]
  ...
  [ 16  34  41]
  [ 25  41  48]
  [ 30  46  53]]]",132,39,325,358
"[[[  0  25  25]
  [  0  24  24]
  [  0  27  27]
  ...
  [174 187 195]
  [174 187 195]
  [173 186 194]]

 [[  0  25  25]
  [  0  25  25]
  [  0  26  26]
  ...
  [174 187 195]
  [174 187 195]
  [174 187 195]]

 [[  0  26  26]
  [  0  26  26]
  [  0  27  27]
  ...
  [175 188 196]
  [175 188 196]
  [174 187 195]]

 ...

 [[  2  22  29]
  [  2  22  29]
  [  1  21  28]
  ...
  [ 37  45  54]
  [ 46  54  63]
  [ 34  42  51]]

 [[  3  23  30]
  [  3  23  30]
  [  2  22  29]
  ...
  [ 40  46  55]
  [ 35  41  50]
  [ 35  41  50]]

 [[  3  23  30]
  [  3  23  30]
  [  2  22  29]
  ...
  [ 50  46  56]
  [ 55  51  61]
  [ 44  40  50]]]",132,45,324,358
"[[[  7  22  25]
  [  6  21  24]
  [  9  24  27]
  ...
  [175 188 196]
  [177 190 198]
  [177 190 198]]

 [[  8  23  26]
  [  8  23  26]
  [  8  23  26]
  ...
  [175 188 196]
  [178 191 199]
  [179 192 200]]

 [[  8  23  26]
  [  8  23  26]
  [  9  24  27]
  ...
  [177 190 198]
  [176 189 197]
  [178 191 199]]

 ...

 [[  1  21  23]
  [  1  21  23]
  [  1  21  23]
  ...
  [ 23  42  51]
  [ 19  38  47]
  [ 16  35  44]]

 [[  1  21  23]
  [  1  21  23]
  [  1  21  23]
  ...
  [ 20  39  48]
  [ 19  38  47]
  [ 20  39  48]]

 [[  0  20  22]
  [  0  20  22]
  [  0  20  22]
  ...
  [ 18  37  46]
  [ 19  38  47]
  [ 21  40  49]]]",133,43,324,359
